,Unnamed: 0,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI,FORMATION
0,0,491.033,5.842269726,9440.922214,0.244047231,42.864024,84.0,2784.321942,1.210000038,311.15,93.7802225,490.7603088,150.88,NORDLAND GP.
1,1,491.185,6.241431011,9499.941336,0.244047231,42.315384,84.0,2784.321942,1.210000038,311.15,93.97980314,490.91088,150.88,NORDLAND GP.
2,2,491.222,6.241431011,9499.941336,0.244047231,42.315384,84.0,2784.321942,1.210000038,311.15,93.97980314,490.91088,150.88,NORDLAND GP.
3,3,491.338,6.368436875,9313.024466,0.216930872,42.894504,84.0,2784.321942,1.210000038,311.15,94.07959346,491.061756,146.26,NORDLAND GP.
4,4,491.341,6.368436875,9313.024466,0.216930872,42.894504,84.0,2784.321942,1.210000038,311.15,94.07959346,491.061756,146.26,NORDLAND GP.
5,5,491.399,6.368436875,9313.024466,0.216930872,42.894504,84.0,2784.321942,1.210000038,311.15,94.07959346,491.061756,146.26,NORDLAND GP.
6,6,491.49,6.336685409,9252.557445,0.230489051,42.672,84.0,2784.321942,1.210000038,311.15,93.73032734,491.2123272,146.26,NORDLAND GP.
7,7,491.517,6.336685409,9252.557445,0.230489051,42.672,84.0,2784.321942,1.210000038,311.15,93.73032734,491.2123272,146.26,NORDLAND GP.
8,8,491.642,5.914844505,9437.61273,0.230489051,42.1386,84.0,2784.321942,1.210000038,311.15,93.88454874,491.3632032,146.26,NORDLAND GP.
9,9,491.694,5.914844505,9437.61273,0.230489051,42.1386,84.0,2784.321942,1.210000038,311.15,93.88454874,491.3632032,146.26,NORDLAND GP.
10,10,491.795,6.173392156,9448.437499,0.216930872,42.547032,84.0,2784.321942,1.210000038,311.15,93.83011766,491.5137744,146.26,NORDLAND GP.
11,11,491.871,6.173392156,9448.437499,0.216930872,42.547032,84.0,2784.321942,1.210000038,311.15,93.83011766,491.5137744,146.26,NORDLAND GP.
12,12,491.929,6.173392156,9448.437499,0.216930872,42.547032,84.0,2784.321942,1.210000038,311.15,93.83011766,491.5137744,146.26,NORDLAND GP.
13,13,491.947,6.214215469,9263.933794,0.162698154,42.501312,84.0,2784.321942,1.210000038,311.15,93.96619537,491.6646504,146.26,NORDLAND GP.
14,14,492.045,6.214215469,9263.933794,0.162698154,42.501312,84.0,2784.321942,1.210000038,311.15,93.96619537,491.6646504,146.26,NORDLAND GP.
15,15,492.1,6.023706674,9279.998579,0.013558179,41.675304,84.0,2784.321942,1.210000038,311.15,93.9344439,491.8152216,155.49,NORDLAND GP.
16,16,495.605,4.721896572,9435.406408,0.013558179,39.724584,84.0,2784.321942,1.210000038,311.15,95.39501133,495.2789688,144.72,NORDLAND GP.
17,17,495.757,4.513244082,9547.377267,0.013558179,40.190928,84.0,2784.321942,1.210000038,311.15,95.28614917,495.4292352,144.72,NORDLAND GP.
18,18,495.8,4.513244082,9547.377267,0.013558179,40.190928,84.0,2784.321942,1.210000038,311.15,95.28614917,495.4292352,144.72,NORDLAND GP.
19,19,496.062,4.808079122,9317.575006,0.013558179,39.82212,84.0,2784.321942,1.210000038,311.15,95.13192776,495.7303776,157.03,NORDLAND GP.
20,20,496.129,4.808079122,9317.575006,0.013558179,39.82212,84.0,2784.321942,1.210000038,311.15,95.13192776,495.7303776,157.03,NORDLAND GP.
21,21,496.519,4.132226491,9389.556272,0.013558179,40.535352,84.0,2784.321942,1.210000038,311.15,95.56737644,496.1817864,144.72,NORDLAND GP.
22,22,496.522,4.132226491,9389.556272,0.013558179,40.535352,84.0,2784.321942,1.210000038,311.15,95.56737644,496.1817864,144.72,NORDLAND GP.
23,23,496.58,4.132226491,9389.556272,0.013558179,40.535352,84.0,2784.321942,1.210000038,311.15,95.56737644,496.1817864,144.72,NORDLAND GP.
24,24,501.396,3.909966229,9466.432816,0.745699872,25.164288,92.9,2821.986792,1.210000038,311.15,96.12983097,500.9927496,144.72,NORDLAND GP.
25,25,501.494,3.909966229,9466.432816,0.745699872,25.164288,92.9,2821.986792,1.210000038,311.15,96.12983097,500.9927496,144.72,NORDLAND GP.
26,26,501.548,1.755402472,10242.3688,3.850522973,24.761952,126.0,2961.100683,1.210000038,311.15,97.74915574,501.143016,144.72,NORDLAND GP.
