,Unnamed: 0,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI,FORMATION
0,0,301.231,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.220124,43.497,NORDLAND GP.
1,1,301.295,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.28535120000004,43.497,NORDLAND GP.
2,2,301.334,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.3246704,43.497,NORDLAND GP.
3,3,301.438,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.428912,43.497,NORDLAND GP.
4,4,301.447,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.43775120000004,38.664,NORDLAND GP.
5,5,301.54200000000003,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.53315360000005,38.664,NORDLAND GP.
6,6,301.6,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.59015120000004,41.081,NORDLAND GP.
7,7,301.648,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.6373952,41.081,NORDLAND GP.
8,8,301.749,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.7407224,41.081,NORDLAND GP.
9,9,301.752,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.74255120000004,41.081,NORDLAND GP.
10,10,301.85,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.8394776,41.081,NORDLAND GP.
11,11,301.904,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.89495120000004,43.497,NORDLAND GP.
12,12,301.935,3.83413284261392,13463.0004891016,4.15999926651141,64.5800017008,208.0,4260.66992014444,1.02999999088548,444.5,95.129326407858,301.925736,43.497,NORDLAND GP.
13,13,301.999,3.26309180024982,9204.00008915717,3.37999991247225,66.80999744399999,183.0,3436.14990190464,1.02999999088548,444.5,95.7105642066997,302.0100098472,43.497,NORDLAND GP.
14,14,302.02,3.26309180024982,9204.00008915717,3.37999991247225,66.80999744399999,183.0,3436.14990190464,1.02999999088548,444.5,95.7105642066997,302.0098608,43.497,NORDLAND GP.
15,15,302.057,3.26309180024982,9204.00008915717,3.37999991247225,66.80999744399999,183.0,3436.14990190464,1.02999999088548,444.5,95.7105642066997,302.04735120000004,55.58,NORDLAND GP.
16,16,302.103,3.26309180024982,9204.00008915717,3.37999991247225,66.80999744399999,183.0,3436.14990190464,1.02999999088548,444.5,95.7105642066997,302.0930712,55.58,NORDLAND GP.
