,Unnamed: 0,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI,FORMATION
0,0,225.171,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.1627704,16.916,NORDLAND GP.
1,1,225.18,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.1731336,16.916,NORDLAND GP.
2,2,225.189,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.1828872,16.916,NORDLAND GP.
3,3,225.229,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.22159680000004,16.916,NORDLAND GP.
4,4,225.238,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.23135040000005,16.916,NORDLAND GP.
5,5,225.247,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.23988480000003,16.916,NORDLAND GP.
6,6,225.262,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.25482,16.916,NORDLAND GP.
7,7,225.265,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.25969680000003,16.916,NORDLAND GP.
8,8,225.278,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.2697552,16.916,NORDLAND GP.
9,9,225.281,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.274632,16.916,NORDLAND GP.
10,10,225.287,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.2798136,16.916,NORDLAND GP.
11,11,225.296,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.28987200000003,16.916,NORDLAND GP.
12,12,225.302,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.2950536,16.916,NORDLAND GP.
13,13,225.314,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3054168,16.916,NORDLAND GP.
14,14,225.323,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3151704,16.916,NORDLAND GP.
15,15,225.326,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3200472,16.916,NORDLAND GP.
16,16,225.33900000000003,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3307152,16.916,NORDLAND GP.
17,17,225.354,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3453456,16.916,NORDLAND GP.
18,18,225.363,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3557088,16.916,NORDLAND GP.
19,19,225.372,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3651576,16.916,NORDLAND GP.
20,20,225.378,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3700344,16.916,NORDLAND GP.
21,21,225.387,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3803976,16.916,NORDLAND GP.
22,22,225.4,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.39228480000003,16.916,NORDLAND GP.
23,23,225.403,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.39533280000003,16.916,NORDLAND GP.
24,24,225.412,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.4050864,16.916,NORDLAND GP.
25,25,225.418,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.4108776,16.916,NORDLAND GP.
26,26,225.424,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.4154496,16.916,NORDLAND GP.
27,27,225.427,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.4203264,16.916,NORDLAND GP.
28,28,225.433,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.4258128,16.916,NORDLAND GP.
29,29,225.439,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.4312992,16.916,NORDLAND GP.
30,30,225.454,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.4471488,16.916,NORDLAND GP.
